fecha_hora,latitud,longitud,profundidad,tipo,magnitud,tipo_magnitud,lugar
2019-05-22T11:50:44Z,-10.236,108.5875,10,terremoto,4.7,mb,"268km S of Citotok, Indonesia"
2019-05-22T10:52:19Z,4.3586,126.8888,35,terremoto,4.8,mb,"195km SE of Sarangani, Philippines"
2019-05-22T04:23:12Z,-40.439,-72.9539,63.04,terremoto,4.6,mwr,"13km S of Rio Bueno, Chile"
2019-05-22T02:24:45Z,-22.4689,-65.9842,252.92,terremoto,4.5,mb,"40km NW of Abra Pampa, Argentina"
2019-05-22T01:39:56Z,-7.1463,129.1553,173.59,terremoto,4.7,mb,"254km WNW of Saumlaki, Indonesia"
2019-05-22T00:39:32Z,13.885,92.9467,10,terremoto,5.6,mww,"243km N of Bamboo Flat, India"
2019-05-21T21:19:50Z,1.0557,-85.1241,10,terremoto,5.3,mww,Off the coast of Ecuador
2019-05-21T20:54:51Z,19.0393,146.0718,88.51,terremoto,4.6,mb,"52km NE of Agrihan, Northern Mariana Islands"
2019-05-21T19:25:13Z,-30.4914,-71.3264,57.46,terremoto,4.5,mwr,"16km NW of Ovalle, Chile"
2019-05-21T19:05:58Z,-34.6265,-179.8495,41.81,terremoto,4.9,mb,South of the Kermadec Islands
2019-05-21T18:49:55Z,-8.3504,160.0295,62.98,terremoto,4.7,mb,"53km ESE of Buala, Solomon Islands"
2019-05-21T18:42:47Z,0.9733,122.0896,49.74,terremoto,5.1,mww,"53km E of Bunobogu, Indonesia"
2019-05-21T16:36:50Z,-14.0972,167.3294,146.4,terremoto,4.5,mb,"33km SW of Sola, Vanuatu"
2019-05-21T13:37:42Z,-15.8459,-72.0201,30.34,terremoto,5.1,mww,"18km N of Lluta, Peru"
2019-05-21T12:55:35Z,-16.0206,-72.0341,39.85,terremoto,4.6,mb,"2km WSW of Lluta, Peru"
2019-05-21T09:33:52Z,-12.3473,166.7692,120.99,terremoto,4.7,mb,"189km NNW of Sola, Vanuatu"
2019-05-21T08:58:20Z,37.8741,21.1914,10,terremoto,4.7,mb,"1km NW of Vartholomion, Greece"
2019-05-21T07:18:59Z,-23.1586,-66.6853,191.97,terremoto,5,mb,"101km W of El Aguilar, Argentina"
2019-05-21T06:33:04Z,-41.346,-88.5826,10,terremoto,5.3,mb,West Chile Rise
2019-05-21T04:04:40Z,-2.7447,150.136,10,terremoto,4.9,mb,"75km WSW of Kavieng, Papua New Guinea"
2019-05-21T03:45:12Z,75.5505,110.1839,10,terremoto,4.8,mb,"173km NNW of Nordvik, Russia"
2019-05-20T11:18:32Z,-31.4861,-69.8663,102.26,terremoto,5.6,mww,"46km WSW of Calingasta, Argentina"
2019-05-20T10:18:04Z,52.8008,-172.4452,165.96,terremoto,4.5,mb,"87km WNW of Amukta Island, Alaska"
2019-05-20T09:27:32Z,7.6231,-37.3755,10,terremoto,4.8,mb,Central Mid-Atlantic Ridge
2019-05-20T07:34:11Z,-18.1965,167.7434,10,terremoto,4.6,mb,"79km SW of Port-Vila, Vanuatu"
2019-05-20T06:20:35Z,19.1179,120.3863,10,terremoto,4.9,mb,"72km NNW of Burgos, Philippines"
2019-05-20T06:02:15Z,-6.8279,154.6331,10,terremoto,5.1,mww,"109km WSW of Panguna, Papua New Guinea"
2019-05-20T04:52:42Z,2.5169,128.2814,10,terremoto,4.6,mb,"92km NNE of Tobelo, Indonesia"
2019-05-20T04:15:54Z,-25.9988,-175.2502,10,terremoto,5,mb,South of Tonga
2019-05-20T01:28:08Z,-6.5125,154.5949,10,terremoto,4.7,mb,"100km WSW of Panguna, Papua New Guinea"
2019-05-20T01:15:48Z,-6.7185,154.7272,10,terremoto,5.2,mww,"94km WSW of Panguna, Papua New Guinea"
2019-05-19T18:51:05Z,-19.4627,-177.2867,388.89,terremoto,4.7,mb,"197km NE of Ndoi Island, Fiji"
2019-05-19T16:35:31Z,2.3974,-84.1952,10,terremoto,4.6,mb,Off the coast of Central America
2019-05-19T15:47:54Z,54.9873,165.8921,10,terremoto,4.9,mb,"23km SSW of Nikol'skoye, Russia"
2019-05-19T15:08:19Z,-24.2951,-67.096,180.42,terremoto,4.6,mb,"79km W of San Antonio de los Cobres, Argentina"
2019-05-19T15:06:17Z,-21.6002,169.6868,10,terremoto,4.9,mb,"186km E of Tadine, New Caledonia"
2019-05-19T15:01:48Z,-21.6697,169.6875,10,terremoto,5.1,mb,"187km E of Tadine, New Caledonia"
2019-05-19T14:56:50Z,-21.6074,169.4692,20,terremoto,6.3,mww,"164km E of Tadine, New Caledonia"
2019-05-19T14:41:14Z,-21.6819,169.6669,21.14,terremoto,4.7,mb,"185km E of Tadine, New Caledonia"
2019-05-19T14:27:12Z,-21.7384,169.5741,19.95,terremoto,6,mww,"176km E of Tadine, New Caledonia"
2019-05-19T11:48:33Z,-60.4402,-26.7865,10,terremoto,5.1,mb,"157km S of Bristol Island, South Sandwich Islands"
