cancion,popularidad,artista,artista_completo,album,top_pais,puesto,bailabilidad,energia,nota_musical,volumen,modo,hablado,acustico,instrumental,en_vivo,positividad,tempo,duracion,tiempo_compas,fecha
Pa Olvidarte (feat. Manuel Turizo) - Remix,84,ChocQuibTown,ChocQuibTown feat. Zion & Lennox feat. Farruko feat. Manuel Turizo,Pa Olvidarte (feat. Manuel Turizo) [Remix],El Top 50 de Perú,19,0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-6,0.239,0.856,176.011,256418,4,2019-02-01
Bubalu,84,Becky G,Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa,Bubalu,El Top 50 de Perú,20,0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,2018-11-06
Reggaeton,85,J Balvin,J Balvin,Reggaeton,El Top 50 de Perú,21,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-5,0.101,0.552,176.059,158800,4,2018-11-17
Te Robaré,90,Nicky Jam,Nicky Jam feat. Ozuna,Te Robaré,El Top 50 de Perú,22,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-5,0.0813,0.797,175.997,201818,4,2019-03-22
MIA (feat. Drake),89,Bad Bunny,Bad Bunny feat. Drake,MIA (feat. Drake),El Top 50 de Perú,23,0.817,0.539,6,-6.349,0,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,210368,4,2018-10-11
Dile la Verdad,80,The Rudeboyz,The Rudeboyz feat. Jowell & Randy feat. Manuel Turizo,Dile la Verdad,El Top 50 de Perú,24,0.886,0.701,7,-3.504,1,0.141,0.292,1.16e-5,0.0574,0.823,103.002,219029,4,2019-01-11
Aullando,87,Wisin & Yandel,Wisin & Yandel feat. Romeo Santos,"Los Campeones del Pueblo ""The Big Leagues""",El Top 50 de Perú,25,0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,226200,4,2018-12-14
Puntos Suspensivos,81,Piso 21,Piso 21,Ubuntu,El Top 50 de Perú,26,0.823,0.731,11,-3.399,0,0.103,0.175,0,0.131,0.952,152.024,186316,4,2018-05-11
Sola,79,Manuel Turizo,Manuel Turizo,Sola,El Top 50 de Perú,27,0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,195044,4,2018-11-09
Imposible,72,Luis Fonsi,Luis Fonsi feat. Ozuna,VIDA,El Top 50 de Perú,28,0.783,0.738,11,-4.078,1,0.0741,0.127,0,0.127,0.925,90.976,164533,4,2019-02-01
Culpables,82,Karol G,Karol G feat. Anuel Aa,Culpables,El Top 50 de Perú,29,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-6,0.143,0.416,130.059,226627,4,2018-09-14
Ya No Tiene Novio,81,Sebastian Yatra,Sebastian Yatra feat. Mau y Ricky,Ya No Tiene Novio,El Top 50 de Perú,30,0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,2018-08-10
Tal Vez,90,Paulo Londra,Paulo Londra,Tal Vez,El Top 50 de Perú,31,0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,264483,4,2019-04-03
Cristina,82,Sebastian Yatra,Sebastian Yatra,Cristina,El Top 50 de Perú,32,0.649,0.502,5,-4.368,1,0.0437,0.286,0,0.166,0.695,87,202040,3,2019-03-22
Déjalo,78,Nacho,Nacho feat. Manuel Turizo,Déjalo,El Top 50 de Perú,33,0.743,0.795,11,-5.733,1,0.0732,0.199,0,0.0577,0.682,95.003,202893,4,2018-11-30
Amigos Con Derechos,82,Reik,Reik feat. Maluma,Amigos Con Derechos,El Top 50 de Perú,34,0.686,0.807,1,-3.324,1,0.0613,0.0481,0,0.0652,0.63,183.971,227476,4,2018-08-31
Que Le De,84,Rauw Alejandro,Rauw Alejandro feat. Nicky Jam,Que Le De,El Top 50 de Perú,35,0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,225600,4,2019-01-25
Destino,80,Greeicy,Greeicy feat. Nacho,Destino,El Top 50 de Perú,36,0.708,0.761,0,-3.02,1,0.093,0.0105,8.51e-6,0.0462,0.71,188.124,180480,4,2019-03-15
Cuando Te Besé,83,Becky G,Becky G feat. Paulo Londra,Cuando Te Besé,El Top 50 de Perú,37,0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-6,0.106,0.295,100.048,254383,4,2018-08-02
Con Altura,90,ROSALÍA,ROSALÍA feat. J Balvin feat. El Guincho,Con Altura,El Top 50 de Perú,38,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,4,2019-03-28
Señor Mentira,65,Daniela Darcourt,Daniela Darcourt,Señor Mentira,El Top 50 de Perú,39,0.613,0.89,10,-5.504,0,0.0418,0.382,5.69e-6,0.137,0.837,179.931,269232,4,2019-02-14
Déjate Querer,83,Lalo Ebratt,Lalo Ebratt feat. Sebastian Yatra feat. Yera feat. Trapical Minds,Déjate Querer,El Top 50 de Perú,40,0.755,0.792,6,-4.238,1,0.0484,0.028,0,0.0754,0.844,106.014,202824,4,2019-02-28
Vaina Loca,84,Ozuna,Ozuna feat. Manuel Turizo,Aura,El Top 50 de Perú,41,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,2018-08-24
A Solas - Remix,82,Lunay,Lunay feat. Lyanno feat. Anuel Aa feat. Brytiago feat. Alex Rose,A Solas Remix,El Top 50 de Perú,42,0.618,0.743,6,-2.576,0,0.141,0.657,5.95e-6,0.143,0.589,180.021,273198,4,2018-12-07
Adiós Amor,64,Daniela Darcourt,Daniela Darcourt,Adiós Amor,El Top 50 de Perú,43,0.677,0.771,1,-6.204,1,0.034,0.205,2.71e-6,0.0912,0.304,92.514,268214,4,2018-10-01
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",90,DJ Snake,DJ Snake feat. Selena Gomez feat. Ozuna feat. Cardi B,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",El Top 50 de Perú,44,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-6,0.0618,0.591,95.948,212500,4,2018-09-28
PPP - Remix,78,Kevin Roldan,Kevin Roldan feat. Zion & Lennox feat. DJ Maff,PPP (Remix),El Top 50 de Perú,45,0.803,0.749,4,-4.358,1,0.143,0.287,0,0.369,0.67,93.005,214600,4,2019-01-25
Por Perro,71,Sebastian Yatra,Sebastian Yatra feat. Luis Figueroa feat. Lary Over,MANTRA,El Top 50 de Perú,46,0.684,0.762,0,-5.18,1,0.0501,0.429,0,0.0852,0.892,172.009,245440,4,2018-05-18
Soltera,86,Lunay,Lunay feat. Chris Jeday feat. Gaby Music,Soltera,El Top 50 de Perú,47,0.778,0.731,5,-4.325,1,0.0399,0.446,0,0.251,0.854,91.991,213913,4,2019-02-21
Hipócrita,79,Anuel Aa,Anuel Aa feat. Zion,Real Hasta la Muerte,El Top 50 de Perú,48,0.79,0.858,2,-2.78,1,0.0471,0.303,0,0.61,0.79,92.05,192000,4,2018-07-17
Asesina - Remix,81,Brytiago,Brytiago feat. Daddy Yankee feat. Ozuna feat. Darell feat. Anuel Aa,Asesina (Remix),El Top 50 de Perú,49,0.825,0.69,10,-4.252,0,0.226,0.589,0,0.413,0.516,94.194,327467,4,2018-10-31
Swing,84,Danny Ocean,Danny Ocean,54+1,El Top 50 de Perú,50,0.729,0.616,8,-6.422,1,0.249,0.458,0,0.082,0.532,106.486,155058,4,2019-03-22
Otro Trago,88,Sech,Sech feat. Darell,Sueños,El Top 50 de Paraguay,1,0.747,0.7,0,-4.669,1,0.341,0.136,1.67e-4,0.11,0.62,176.036,225933,4,2019-04-19
Tal Vez,90,Paulo Londra,Paulo Londra,Tal Vez,El Top 50 de Paraguay,2,0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,264483,4,2019-04-03
Tuyo,43,J.Beren,J.Beren,Tuyo,El Top 50 de Paraguay,3,0.811,0.881,7,-2.757,0,0.0405,0.183,0.00148,0.0651,0.649,99.987,175800,4,2019-02-22
Que Mas Pues - Remix,83,Sech,Sech feat. Justin Quiles feat. Maluma feat. Nicky Jam feat. Farruko feat. Dalex feat. Lenny Tavárez,Sueños,El Top 50 de Paraguay,4,0.648,0.661,11,-5.027,1,0.195,0.121,2.33e-6,0.12,0.813,113.363,305962,5,2019-04-19
Apagar la luz (feat. Gustavo Elis),17,Polo Nandez,Polo Nandez feat. Gustavo Elis,Apagar la luz (feat. Gustavo Elis),El Top 50 de Paraguay,5,0.445,0.78,0,-6.525,1,0.121,0.573,0,0.135,0.712,100.008,190081,3,2019-05-10
Soltera - Remix,75,Lunay,Lunay feat. Daddy Yankee feat. Bad Bunny,Soltera (Remix),El Top 50 de Paraguay,6,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,266087,4,2019-05-10
Verte Ir,91,DJ Luian,DJ Luian feat. Mambo Kingz feat. Anuel Aa feat. Nicky Jam feat. Darell feat. Brytiago,Verte Ir,El Top 50 de Paraguay,7,0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-6,0.0842,0.553,95.982,267500,4,2019-03-28
Pa Mí - Remix,51,Dalex,Dalex feat. Rafa Pabön feat. Khea feat. Sech feat. Feid feat. Cazzu feat. Lenny Tavárez,Climaxxx,El Top 50 de Paraguay,8,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-6,0.158,0.727,170.018,360960,4,2019-05-10
Tiempo,50,Albert Gonzalez,Albert Gonzalez feat. J.Beren feat. Kira Brown,Tiempo,El Top 50 de Paraguay,9,0.88,0.6,0,-8.21,1,0.0924,0.282,8.94e-5,0.0872,0.535,95.015,192000,4,2019-04-05
Solita,72,Sech,Sech feat. Farruko feat. Zion & Lennox,Sueños,El Top 50 de Paraguay,10,0.679,0.831,2,-1.866,1,0.109,0.159,1.1e-6,0.097,0.88,88.792,219520,4,2019-04-19
Cuaderno,65,Dalex,Dalex feat. Nicky Jam feat. Justin Quiles feat. Sech feat. Lenny Tavárez feat. Feid feat. Rafa Pabön,Climaxxx,El Top 50 de Paraguay,11,0.681,0.648,1,-5.021,0,0.38,0.524,0,0.104,0.687,172.019,286507,4,2019-05-10
Secreto,92,Anuel Aa,Anuel Aa feat. Karol G,Secreto,El Top 50 de Paraguay,12,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,2019-01-15
La Regalada,38,Maria Campos,Maria Campos,La Regalada,El Top 50 de Paraguay,13,0.532,0.726,4,-4.066,0,0.293,0.247,0.00204,0.177,0.363,179.605,200762,4,2019-04-26
Si Se Da,86,Myke Towers,Myke Towers feat. Farruko,Si Se Da,El Top 50 de Paraguay,14,0.83,0.71,11,-5.523,0,0.326,0.374,0,0.0877,0.703,93.977,237013,4,2019-02-26
Con Calma,96,Daddy Yankee,Daddy Yankee feat. Snow,Con Calma,El Top 50 de Paraguay,15,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-6,0.0574,0.656,93.989,193227,4,2019-01-24
Hope,43,Mike Wit,Mike Wit,Hope,El Top 50 de Paraguay,16,0.694,0.581,6,-7.382,1,0.0496,0.843,2.12e-6,0.0823,0.664,107.059,172722,4,2019-04-12
Amanece,88,Anuel Aa,Anuel Aa feat. Haze,Amanece,El Top 50 de Paraguay,17,0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,2018-12-14
Te Robaré,90,Nicky Jam,Nicky Jam feat. Ozuna,Te Robaré,El Top 50 de Paraguay,18,0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-5,0.0813,0.797,175.997,201818,4,2019-03-22
Miss Lonely - Dimelo Flow Remix,72,Sech,Sech feat. Justin Quiles feat. De La Ghetto feat. Dimelo Flow,Sueños,El Top 50 de Paraguay,19,0.669,0.711,0,-5.461,1,0.156,0.176,0,0.024,0.717,81.921,240366,4,2019-04-19
Desconocidos,63,Mau y Ricky,Mau y Ricky feat. Manuel Turizo feat. Camilo,Para Aventuras y Curiosidades,El Top 50 de Paraguay,20,0.719,0.753,7,-4.891,1,0.179,0.118,4.21e-6,0.212,0.675,174.107,204564,4,2019-05-03
Esclavo de Tus Besos,88,Manuel Turizo,Manuel Turizo feat. Ozuna,Esclavo de Tus Besos,El Top 50 de Paraguay,21,0.805,0.671,5,-5.316,1,0.111,0.113,0,0.278,0.522,90.979,219302,4,2019-02-15
HP,92,Maluma,Maluma,HP,El Top 50 de Paraguay,22,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-6,0.188,0.618,91.98,184436,4,2019-03-01
Baila Baila Baila - Remix,84,Ozuna,Ozuna feat. Daddy Yankee feat. J Balvin feat. Farruko feat. Anuel Aa,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",El Top 50 de Paraguay,23,0.785,0.572,2,-7.504,1,0.123,0.0598,0,0.218,0.49,100.016,235284,4,2019-04-25
Delincuente,76,Farruko,Farruko feat. Anuel Aa feat. Kendo Kaponi,Gangalee,El Top 50 de Paraguay,24,0.655,0.858,0,-5.607,0,0.315,0.53,0,0.344,0.65,83.489,396120,4,2019-04-26
Sígueme - Remix,75,Feid,Feid feat. Sech,Sígueme (Remix),El Top 50 de Paraguay,25,0.753,0.522,1,-5.649,0,0.259,0.618,5.66e-5,0.106,0.651,174.016,202547,4,2019-02-01
Someone Else,6,Mike Wit,Mike Wit feat. Carlota Mad,What The End of A Relationship Sounds Like,El Top 50 de Paraguay,26,0.609,0.734,5,-4.527,1,0.0419,0.522,4.46e-6,0.0721,0.572,109.925,218662,4,2019-05-03
Adan y Eva,89,Paulo Londra,Paulo Londra,Adan y Eva,El Top 50 de Paraguay,27,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4,2018-11-05
Controla,82,Brytiago,Brytiago feat. Anuel Aa,Controla,El Top 50 de Paraguay,28,0.758,0.699,6,-5.636,1,0.171,0.504,0,0.0922,0.594,90.013,208000,4,2019-02-15
A Solas - Remix,82,Lunay,Lunay feat. Lyanno feat. Anuel Aa feat. Brytiago feat. Alex Rose,A Solas Remix,El Top 50 de Paraguay,29,0.618,0.743,6,-2.576,0,0.141,0.657,5.95e-6,0.143,0.589,180.021,273198,4,2018-12-07
Soltera,86,Lunay,Lunay feat. Chris Jeday feat. Gaby Music,Soltera,El Top 50 de Paraguay,30,0.778,0.731,5,-4.325,1,0.0399,0.446,0,0.251,0.854,91.991,213913,4,2019-02-21
Qué Más Pues,77,Sech,Sech feat. Justin Quiles,The Sensation,El Top 50 de Paraguay,31,0.563,0.565,8,-5.514,0,0.376,0.065,1.69e-4,0.0855,0.818,169.841,203667,4,2018-12-06
Rebota,84,Guaynaa,Guaynaa,Rebota,El Top 50 de Paraguay,32,0.796,0.911,1,-1.998,1,0.285,0.188,0,0.499,0.918,180.128,204631,4,2018-12-14
Dices Que Te Vas,71,Karol G,Karol G feat. Anuel Aa,OCEAN,El Top 50 de Paraguay,33,0.506,0.287,7,-10.009,1,0.0643,0.861,0,0.605,0.57,147.076,202053,4,2019-05-03
Te Vi,89,Piso 21,Piso 21 feat. Micro Tdh,Te Vi,El Top 50 de Paraguay,34,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-5,0.0863,0.706,102.02,231848,4,2018-12-14
Baby,84,Amenazzy,Amenazzy feat. Nicky Jam feat. Farruko,Baby,El Top 50 de Paraguay,35,0.7,0.71,11,-4.835,1,0.0532,0.327,0,0.129,0.582,167.971,235973,4,2018-12-21
Aullando,87,Wisin & Yandel,Wisin & Yandel feat. Romeo Santos,"Los Campeones del Pueblo ""The Big Leagues""",El Top 50 de Paraguay,36,0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,226200,4,2018-12-14
Que Le De,84,Rauw Alejandro,Rauw Alejandro feat. Nicky Jam,Que Le De,El Top 50 de Paraguay,37,0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,225600,4,2019-01-25
Si Estuviésemos Juntos,83,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Paraguay,38,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-5,0.152,0.158,171.854,169248,4,2018-12-23
Ella Quiere Beber - Remix,87,Anuel Aa,Anuel Aa feat. Romeo Santos,Ella Quiere Beber (Remix),El Top 50 de Paraguay,39,0.75,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.697,95.239,219357,4,2018-11-02
Punto G,67,Karol G,Karol G,OCEAN,El Top 50 de Paraguay,40,0.791,0.746,6,-4.716,1,0.0907,0.00938,1.17e-4,0.125,0.905,165.994,183160,4,2019-05-03
Un Año,74,Sebastian Yatra,Sebastian Yatra feat. Reik,FANTASÍA,El Top 50 de Paraguay,41,0.773,0.378,1,-7.062,0,0.0531,0.14,0,0.133,0.513,94.946,163813,4,2019-04-12
Vuelva A Ver - Remix,42,Dalex,Dalex feat. Lyanno feat. Sech feat. Justin Quiles feat. Rauw Alejandro,Climaxxx,El Top 50 de Paraguay,42,0.704,0.592,9,-5.368,1,0.194,0.644,0,0.802,0.386,159.872,267110,4,2019-05-10
Pa Olvidarte (feat. Manuel Turizo) - Remix,84,ChocQuibTown,ChocQuibTown feat. Zion & Lennox feat. Farruko feat. Manuel Turizo,Pa Olvidarte (feat. Manuel Turizo) [Remix],El Top 50 de Paraguay,43,0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-6,0.239,0.856,176.011,256418,4,2019-02-01
Adictiva,86,Daddy Yankee,Daddy Yankee feat. Anuel Aa,Adictiva,El Top 50 de Paraguay,44,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-5,0.172,0.701,99.038,207853,4,2018-11-09
Calma - Remix,93,Pedro Capó,Pedro Capó feat. Farruko,Calma (Remix),El Top 50 de Paraguay,45,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,2018-10-05
Contra La Pared,74,Sean Paul,Sean Paul feat. J Balvin,Contra La Pared,El Top 50 de Paraguay,46,0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,224681,4,2019-03-14
Ocean,73,Karol G,Karol G,OCEAN,El Top 50 de Paraguay,47,0.727,0.482,11,-6.193,1,0.115,0.933,0,0.388,0.487,74.93,155947,4,2019-05-03
Créeme,63,Karol G,Karol G feat. Maluma,OCEAN,El Top 50 de Paraguay,48,0.715,0.874,6,-3.576,1,0.0548,0.126,1.62e-4,0.105,0.652,96.995,214293,4,2019-05-03
Culpables,61,Karol G,Karol G feat. Anuel Aa,OCEAN,El Top 50 de Paraguay,49,0.728,0.812,8,-3.017,0,0.0833,0.287,2.9e-6,0.13,0.418,130.029,228960,4,2019-05-03
I Don't Care (with Justin Bieber),88,Ed Sheeran,Ed Sheeran feat. Justin Bieber,I Don't Care (with Justin Bieber),El Top 50 de Paraguay,50,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4,2019-05-10
Calma - Remix,93,Pedro Capó,Pedro Capó feat. Farruko,Calma (Remix),El Top 50 de Panamá,1,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,2018-10-05
Ganas,44,D3llano,D3llano feat. Kira Brown feat. J. Parker,Ganas,El Top 50 de Panamá,2,0.476,0.445,7,-10.239,0,0.387,0.448,7.13e-5,0.141,0.377,81.396,175243,4,2019-02-15
Lollipop,57,Boza,Boza feat. Faster,Lollipop,El Top 50 de Panamá,3,0.667,0.935,10,-2.98,0,0.164,0.365,0,0.105,0.877,194.115,227653,4,2018-11-20
Adan y Eva,89,Paulo Londra,Paulo Londra,Adan y Eva,El Top 50 de Panamá,4,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4,2018-11-05
MIA (feat. Drake),89,Bad Bunny,Bad Bunny feat. Drake,MIA (feat. Drake),El Top 50 de Panamá,5,0.817,0.539,6,-6.349,0,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,210368,4,2018-10-11
Solo de Mi,76,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Panamá,6,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-5,0.0778,0.15,179.972,197968,4,2018-12-23
Ella Quiere Beber - Remix,67,Anuel Aa,Anuel Aa feat. Romeo Santos,Ella Quiere Beber (Remix),El Top 50 de Panamá,7,0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,4,2018-11-02
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",90,DJ Snake,DJ Snake feat. Selena Gomez feat. Ozuna feat. Cardi B,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",El Top 50 de Panamá,8,0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-6,0.0618,0.591,95.948,212500,4,2018-09-28
Bubalu,84,Becky G,Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa,Bubalu,El Top 50 de Panamá,9,0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,2018-11-06
Adictiva,86,Daddy Yankee,Daddy Yankee feat. Anuel Aa,Adictiva,El Top 50 de Panamá,10,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-5,0.172,0.701,99.038,207853,4,2018-11-09
Vaina Loca,84,Ozuna,Ozuna feat. Manuel Turizo,Aura,El Top 50 de Panamá,11,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,2018-08-24
Me Gustaría,62,Sech,Sech feat. Justin Quiles feat. Jowell & Randy,The Sensation,El Top 50 de Panamá,12,0.683,0.486,8,-7.014,0,0.236,0.328,0,0.08,0.721,170.053,219706,4,2018-12-06
Desconocidos,89,Mau y Ricky,Mau y Ricky feat. Manuel Turizo feat. Camilo,Desconocidos,El Top 50 de Panamá,13,0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-6,0.249,0.709,174.006,204453,4,2018-10-12
Amanece,88,Anuel Aa,Anuel Aa feat. Haze,Amanece,El Top 50 de Panamá,14,0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,2018-12-14
Culpables,82,Karol G,Karol G feat. Anuel Aa,Culpables,El Top 50 de Panamá,15,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-6,0.143,0.416,130.059,226627,4,2018-09-14
Ibiza,80,Ozuna,Ozuna feat. Romeo Santos,Aura,El Top 50 de Panamá,16,0.691,0.71,5,-5.144,1,0.334,0.254,0,0.108,0.726,192.046,200747,4,2018-08-24
Imposible,81,Luis Fonsi,Luis Fonsi feat. Ozuna,Imposible,El Top 50 de Panamá,17,0.786,0.764,11,-2.935,1,0.0798,0.122,0,0.102,0.913,90.979,163880,4,2018-10-19
BEBE (feat. Anuel Aa),82,6ix9ine,6ix9ine feat. Anuel Aa,DUMMY BOY,El Top 50 de Panamá,18,0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,217822,4,2018-11-27
Créeme,84,Karol G,Karol G feat. Maluma,Créeme,El Top 50 de Panamá,19,0.715,0.872,6,-3.501,1,0.0547,0.154,1.46e-4,0.11,0.682,96.939,212493,4,2018-11-02
Luz Apaga,78,Ozuna,Ozuna feat. Lunay feat. Rauw Alejandro feat. Lyanno,Luz Apaga,El Top 50 de Panamá,20,0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-6,0.12,0.658,192.07,245000,4,2018-11-16
Asesina - Remix,81,Brytiago,Brytiago feat. Daddy Yankee feat. Ozuna feat. Darell feat. Anuel Aa,Asesina (Remix),El Top 50 de Panamá,21,0.825,0.69,10,-4.252,0,0.226,0.589,0,0.413,0.516,94.194,327467,4,2018-10-31
NI BIEN NI MAL,84,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Panamá,22,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-5,0.273,0.337,128.028,236216,4,2018-12-23
Cuando Te Besé,83,Becky G,Becky G feat. Paulo Londra,Cuando Te Besé,El Top 50 de Panamá,23,0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-6,0.106,0.295,100.048,254383,4,2018-08-02
Caro,81,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Panamá,24,0.651,0.575,0,-7.739,1,0.299,0.627,2.02e-4,0.0961,0.248,160.007,229456,4,2018-12-23
Otra Noche en Miami,77,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Panamá,25,0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-5,0.0958,0.297,88.661,233128,4,2018-12-23
Devuelveme,78,Ozuna,Ozuna,Aura,El Top 50 de Panamá,26,0.744,0.769,11,-4.112,1,0.156,0.554,6.96e-6,0.102,0.784,176.002,188907,4,2018-08-24
MALA (feat. Anuel Aa),80,6ix9ine,6ix9ine feat. Anuel Aa,DUMMY BOY,El Top 50 de Panamá,27,0.719,0.825,5,-3.627,0,0.0424,0.689,0,0.103,0.789,100.006,206550,4,2018-11-27
PPP,80,Kevin Roldan,Kevin Roldan,PPP,El Top 50 de Panamá,28,0.786,0.65,4,-6.839,1,0.109,0.363,8.17e-5,0.122,0.712,92.975,129040,4,2018-09-07
Quiere Beber,58,Anuel Aa,Anuel Aa,Real Hasta la Muerte,El Top 50 de Panamá,29,0.773,0.57,8,-3.482,1,0.113,0.372,0.00524,0.108,0.772,95.038,187125,4,2018-07-17
Hipócrita,58,Anuel Aa,Anuel Aa feat. Zion,Real Hasta la Muerte,El Top 50 de Panamá,30,0.79,0.858,2,-2.78,1,0.0471,0.303,0,0.61,0.79,92.05,192000,4,2018-07-17
Reggaeton,85,J Balvin,J Balvin,Reggaeton,El Top 50 de Panamá,31,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-5,0.101,0.552,176.059,158800,4,2018-11-17
Te Boté - Remix,84,Nio Garcia,Nio Garcia feat. Casper Magico feat. Bad Bunny feat. Darell feat. Ozuna feat. Nicky Jam,Te Boté (Remix),El Top 50 de Panamá,32,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-5,0.0595,0.442,96.507,417920,4,2018-04-13
A Solas - Remix,82,Lunay,Lunay feat. Lyanno feat. Anuel Aa feat. Brytiago feat. Alex Rose,A Solas Remix,El Top 50 de Panamá,33,0.618,0.743,6,-2.576,0,0.141,0.657,5.95e-6,0.143,0.589,180.021,273198,4,2018-12-07
Si Estuviésemos Juntos,83,Bad Bunny,Bad Bunny,X 100PRE,El Top 50 de Panamá,34,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-5,0.152,0.158,171.854,169248,4,2018-12-23
Sola,79,Manuel Turizo,Manuel Turizo,Sola,El Top 50 de Panamá,35,0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,195044,4,2018-11-09
Está Rico,77,Marc Anthony,Marc Anthony feat. Will Smith feat. Bad Bunny,Está Rico,El Top 50 de Panamá,36,0.817,0.74,11,-4.566,0,0.283,0.266,0,0.0992,0.674,130.04,215151,4,2018-09-28
Ya No Tiene Novio,81,Sebastian Yatra,Sebastian Yatra feat. Mau y Ricky,Ya No Tiene Novio,El Top 50 de Panamá,37,0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,2018-08-10
Te Gusta Hacerla,51,Eddy Lover,Eddy Lover feat. Akim,Te Gusta Hacerla,El Top 50 de Panamá,38,0.633,0.719,6,-4.396,0,0.256,0.0251,0,0.0161,0.85,133.192,229000,5,2018-07-12
La Vida,63,Sech,Sech,The Sensation,El Top 50 de Panamá,39,0.528,0.315,5,-11.42,1,0.0787,0.931,0,0.112,0.354,86.09,220457,4,2018-12-06
