ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
9269,Battle for Haditha,2007,7,"Drama, Histórico, Guerra",6884,Nick Broomfield,97,0.01
9270,Jin yi wei,2010,6.4,"Acción, Histórico, Suspenso",6884,Daniel Lee,114,NA
9271,Girlhouse,2014,5.5,"Horror, Suspenso",6882,Jon Knautz,99,NA
9272,Les Lyonnais,2011,7,"Drama, Suspenso",6882,Olivier Marchal,102,NA
9273,Liberty Stands Still,2002,5.8,"Acción, Drama, Suspenso",6880,Kari Skogland,96,NA
9274,Lawn Dogs,1997,7.6,Drama,6880,John Duigan,101,0.11
9275,Arn: Riket vid vägens slut,2008,6.6,"Acción, Aventura, Drama",6879,Peter Flinth,128,NA
9276,Griffin & Phoenix,2006,7.1,"Comedia, Drama, Romántica",6878,Ed Stone,102,NA
9277,Alien Autopsy,2006,5.8,"Biografía, Comedia, Ciencia Ficción",6876,Jonny Campbell,95,NA
9278,Lila & Eve,2015,5.8,"Crimen, Drama, Misterio",6875,Charles Stone III,94,0.04
9279,Keulraesik,2003,7.9,"Drama, Romántica",6875,Jae-young Kwak,127,NA
9280,Porky's Revenge,1985,4.7,Comedia,6872,James Komack,92,20.52
9281,The Colour of Pomegranates,1969,7.7,"Biografía, Drama, Histórico",6871,Sergei Parajanov,79,NA
9282,Head Above Water,1996,6,"Comedia, Suspenso",6871,Jim Wilson,92,0.03
9283,She's Gotta Have It,1986,6.6,"Comedia, Romántica",6870,Spike Lee,84,7.14
9284,Chandni Chowk to China,2009,4,"Acción, Comedia, Fantasía",6869,Nikkhil Advani,154,0.92
9285,American Me,1992,7.2,"Biografía, Crimen, Drama",6868,Edward James Olmos,125,13.09
9286,Bad Timing,1980,7.1,"Drama, Misterio, Suspenso",6861,Nicolas Roeg,123,NA
9287,'I Know Where I'm Going!',1945,7.6,"Drama, Romántica",6861,Michael Powell,91,NA
9288,The Treatment,2014,7.2,"Misterio, Suspenso",6859,Hans Herbots,131,NA
9289,The Winslow Boy,1999,7.4,"Drama, Romántica",6858,David Mamet,104,3.96
9290,Playing God,1997,5.6,"Crimen, Suspenso, Drama",6857,Andy Wilson,94,4.05
9291,Hell in the Pacific,1968,7.3,"Aventura, Guerra",6856,John Boorman,103,NA
9292,Samsara,2001,7.8,"Aventura, Drama, Romántica",6856,Pan Nalin,145,NA
9293,Vatel,2000,6.6,"Biografía, Drama, Romántica",6855,Roland Joffé,103,0.05
9294,Metropia,2009,6.3,"Animación, Drama, Misterio",6854,Tarik Saleh,86,NA
9295,Canim Kardesim,1973,8.8,Drama,6853,Ertem Egilmez,92,NA
9296,Undercover Blues,1993,6,"Comedia, Crimen",6852,Herbert Ross,90,12.42
9297,Somersault,2004,6.8,"Drama, Romántica",6852,Cate Shortland,106,0.09
9298,The Axe,2005,7.4,"Comedia, Crimen, Drama",6852,Costa-Gavras,117,NA
9299,Desk Set,1957,7.3,"Comedia, Romántica",6850,Walter Lang,103,NA
9300,Khaleja,2010,7.6,"Acción, Comedia, Drama",6850,Trivikram Srinivas,170,NA
9301,The Houses October Built,2014,5.2,"Horror, Suspenso",6849,Bobby Roe,91,NA
9302,Don't Come Knocking,2005,6.7,"Drama, Música",6848,Wim Wenders,122,0.44
9303,Baskin,2015,5.7,"Fantasía, Horror",6844,Can Evrenol,97,NA
9304,Kutsal Damacana,2007,5,"Comedia, Fantasía, Horror",6844,Kamil Aydin,105,NA
9305,My Name Is Joe,1998,7.5,"Drama, Romántica",6842,Ken Loach,105,0.35
9306,Donovan's Reef,1963,6.9,"Aventura, Comedia, Romántica",6841,John Ford,109,NA
9307,Arthur 3: la guerre des deux mondes,2010,5.5,"Animación, Aventura, Familiar",6841,Luc Besson,101,NA
9308,Someone Marry Barry,2014,5.8,Comedia,6838,Rob Pearlstein,87,NA
9309,Mil gritos tiene la noche,1982,6.1,"Horror, Misterio, Suspenso",6836,Juan Piquer Simón,85,2.03
9310,Xi yang tian shi,2002,6.7,"Acción, Aventura, Comedia",6834,Corey Yuen,110,0.08
9311,Mohra,1994,7.1,"Acción, Drama, Suspenso",6833,Rajiv Rai,177,NA
9312,The Brothers McMullen,1995,6.6,"Comedia, Drama, Romántica",6832,Edward Burns,98,10.25
9313,Biyeolhan geori,2006,7.4,"Acción, Crimen, Drama",6832,Ha Yoo,141,NA
9314,Gadjo dilo,1997,7.7,"Comedia, Drama, Música",6832,Tony Gatlif,102,0.67
9315,First Kill,2017,4.9,"Acción, Crimen, Suspenso",6831,Steven C. Miller,97,NA
9316,Jury Duty,1995,4.1,Comedia,6830,John Fortenberry,88,17.01
9317,Intersection,1994,5.3,"Drama, Romántica",6829,Mark Rydell,98,20.93
9318,In My Father's Den,2004,7.6,"Drama, Misterio, Suspenso",6829,Brad McGann,127,NA
9319,Private Resort,1985,5.2,Comedia,6828,George Bowers,82,0.33
9320,Ms .45,1981,6.8,"Crimen, Drama, Suspenso",6828,Abel Ferrara,80,NA
9321,Delirious,1991,5.8,"Comedia, Fantasía",6826,Tom Mankiewicz,96,5.55
9322,Pandemic,2016,4.5,"Acción, Horror, Ciencia Ficción",6822,John Suits,91,NA
9323,Benvenuti al sud,2010,6.5,Comedia,6822,Luca Miniero,102,NA
9324,Irina Palm,2007,7.2,Drama,6821,Sam Garbarski,103,0.04
9325,Mao's Last Dancer,2009,7.3,"Biografía, Drama, Música",6819,Bruce Beresford,117,4.81
9326,Bad ma ra khahad bord,1999,7.6,Drama,6818,Abbas Kiarostami,118,0.21
