id_estacion,lon,lat,capacidad
329,-58.4351681,-34.5931053,20
368,-58.47375,-34.621153,12
57,-58.3706051,-34.6134468,16
199,-58.4160137,-34.6222601,20
379,-58.428163,-34.560162,20
299,-58.466293,-34.631486,20
366,-58.482602,-34.635402,20
397,-58.4856262,-34.5979984,12
68,-58.385434,-34.6065099,20
148,-58.4846764,-34.6443615,28
318,-58.45732,-34.603935,20
50,-58.4010798,-34.5837348,20
179,-58.3605313,-34.638989,19
222,-58.4206642,-34.5727715,20
311,-58.47421143,-34.5972098,20
351,-58.4520772,-34.5717033,16
122,-58.4204199,-34.5916569,20
266,-58.4287202,-34.6601336,16
314,-58.4602399,-34.61047,16
74,-58.4346338,-34.6043825,24
196,-58.3657211,-34.6275351,20
215,-58.4251226,-34.5858843,20
353,-58.3647259,-34.5986779,20
166,-58.3932507,-34.5891897,20
428,-58.4739506,-34.587458,20
216,-58.4114907,-34.5900976,20
332,-58.490891,-34.602133,16
90,-58.3998749,-34.5866324,20
105,-58.4008662,-34.6340844,16
301,-58.431785,-34.644841,20
381,-58.4665179,-34.6153,16
24,-58.3808943,-34.610583,18
218,-58.425464,-34.638523,16
46,-58.3743749,-34.6163012,18
51,-58.3821261,-34.6014776,12
25,-58.4161178,-34.5894269,24
110,-58.415434,-34.601738,20
376,-58.4871352,-34.626698,20
20,-58.4417756,-34.5798619,20
99,-58.435408,-34.5960961,20
250,-58.377215,-34.6526797,16
287,-58.4409183,-34.6103343,20
401,-58.4795922,-34.6347618,20
77,-58.3947367,-34.6116273,20
107,-58.395852,-34.630374,16
138,-58.3876724,-34.6353595,12
29,-58.4335573,-34.6079414,30
42,-58.38003248,-34.604447,24
132,-58.372763,-34.6033685,12
269,-58.457854,-34.577296,18
380,-58.46481,-34.6060382,20
119,-58.3973293,-34.5885608,20
335,-58.470907,-34.615852,20
62,-58.3768501,-34.5985102,20
36,-58.3767677,-34.6045481,16
91,-58.397602,-34.6174482,20
234,-58.4475673,-34.5483593,20
164,-58.3669021,-34.6181442,20
372,-58.470136,-34.636406,12
388,-58.48455,-34.580927,20
443,-58.3706184,-34.6157533,18
217,-58.4042123,-34.6342818,16
363,-58.46205,-34.642052,28
53,-58.3743514,-34.5952579,20
88,-58.404356,-34.612575,20
192,-58.3855748,-34.5972773,20
409,-58.412878,-34.654801,24
75,-58.3989871,-34.6122976,20
265,-58.450658,-34.6418833,16
433,-58.373638,-34.637491,20
288,-58.4429517,-34.6404886,20
350,-58.4851455,-34.567996,20
152,-58.3596311,-34.6181645,19
258,-58.4554838,-34.5655918,16
