anio,equipo,codigo_pais,ronda,resultado,goles,id_partido_anio,numero_equipo
1999,Brasil,BRA,Fase de grupos,Victoria,2,15,1
1999,Italia,ITA,Fase de grupos,Derrota,0,15,2
1999,Estados Unidos,USA,Fase de grupos,Victoria,7,16,1
1999,Nigeria,NGA,Fase de grupos,Derrota,1,16,2
1999,Canadá,CAN,Fase de grupos,Derrota,1,17,1
1999,Rusia,RUS,Fase de grupos,Victoria,4,17,2
1999,República Popular China,CHN,Fase de grupos,Victoria,3,18,1
1999,Australia,AUS,Fase de grupos,Derrota,1,18,2
1999,Ghana,GHA,Fase de grupos,Derrota,0,19,1
1999,Suecia,SWE,Fase de grupos,Victoria,2,19,2
1999,Noruega,NOR,Fase de grupos,Victoria,4,20,1
1999,Japón,JPN,Fase de grupos,Derrota,0,20,2
1999,México,MEX,Fase de grupos,Derrota,0,21,1
1999,Italia,ITA,Fase de grupos,Victoria,2,21,2
1999,Alemania,GER,Fase de grupos,Empate,3,22,1
1999,Brasil,BRA,Fase de grupos,Empate,3,22,2
1999,Estados Unidos,USA,Fase de grupos,Victoria,3,23,1
1999,Corea del Norte,PRK,Fase de grupos,Derrota,0,23,2
1999,Nigeria,NGA,Fase de grupos,Victoria,2,24,1
1999,Dinamarca,DEN,Fase de grupos,Derrota,0,24,2
1999,República Popular China,CHN,Cuartos de final,Victoria,2,25,1
1999,Rusia,RUS,Cuartos de final,Derrota,0,25,2
1999,Noruega,NOR,Cuartos de final,Victoria,3,26,1
1999,Suecia,SWE,Cuartos de final,Derrota,1,26,2
1999,Estados Unidos,USA,Cuartos de final,Victoria,3,27,1
1999,Alemania,GER,Cuartos de final,Derrota,2,27,2
1999,Brasil,BRA,Cuartos de final,Victoria,4,28,1
1999,Nigeria,NGA,Cuartos de final,Derrota,3,28,2
1999,Noruega,NOR,Semifinales,Derrota,0,29,1
1999,República Popular China,CHN,Semifinales,Victoria,5,29,2
1999,Estados Unidos,USA,Semifinales,Victoria,2,30,1
1999,Brasil,BRA,Semifinales,Derrota,0,30,2
1999,Brasil,BRA,Tercer lugar,Victoria,0,31,1
1999,Noruega,NOR,Tercer lugar,Derrota,0,31,2
1999,Estados Unidos,USA,Final,Victoria,0,32,1
1999,República Popular China,CHN,Final,Derrota,0,32,2
2003,Noruega,NOR,Fase de grupos,Victoria,2,1,1
2003,Francia,FRA,Fase de grupos,Derrota,0,1,2
2003,Nigeria,NGA,Fase de grupos,Derrota,0,2,1
2003,Corea del Norte,PRK,Fase de grupos,Victoria,3,2,2
