id,id_conversacion,creado_en,fecha,hora,huso_horario,id_usuario,nombre_usuario,nombre,lugar,tweet,etiquetas,respuestas,menciones,urls,fotos,cantidad_respuestas,cantidad_retweets,cantidad_likes,ubucacion,hashtags,enlaces,retweet,url_gif,muestra_gif,url_video,muestra_video,estado_es_cita,id_cita,url_cita,es_respuesta_a,tiene_tweet_padre
1178460619399401500,1178460619399401500,1569801881000,2019-09-29,21:04:41,Argentina Standard Time,735627367926890500,data_datum,Roxana Noelia,NA,Cositas lindas que me traje de #LatinR2019 regalitos de @_lacion_ y de @d_olivaw @LatinR_Conf pic.twitter.com/Vx6MjUqc5o,[],"[{'id': 735627367926890496, 'id_str': '735627367926890496', 'screen_name': 'data_datum'}, {'id': 633700365, 'id_str': '633700365', 'screen_name': '_lacion_'}, {'id': 56458354, 'id_str': '56458354', 'screen_name': 'd_olivaw'}, {'id': 943420740891791362, 'id_str': '943420740891791362', 'screen_name': 'LatinR_Conf'}]","['_lacion_', 'd_olivaw', 'latinr_conf']",[],['https://pbs.twimg.com/media/EFq7pqOXYAAPG_A.jpg'],1,1,20,NA,['#latinr2019'],https://twitter.com/data_datum/status/1178460619399401473,NA,NA,NA,NA,NA,0,0,NA,0,0
1178459907554791400,1178459907554791400,1569801711000,2019-09-29,21:01:51,Argentina Standard Time,735627367926890500,data_datum,Roxana Noelia,NA,Thanks to @GabySandovalM por taking me these pictures! #LatinR2019  pic.twitter.com/oQzFqAsW1Y,[],"[{'id': 735627367926890496, 'id_str': '735627367926890496', 'screen_name': 'data_datum'}, {'id': 273776370, 'id_str': '273776370', 'screen_name': 'GabySandovalM'}]",['gabysandovalm'],[],"['https://pbs.twimg.com/media/EFq7AHAXUAAePkJ.jpg', 'https://pbs.twimg.com/media/EFq7AHAXUAE7Lc_.jpg', 'https://pbs.twimg.com/media/EFq7AHBXkAER7kC.jpg', 'https://pbs.twimg.com/media/EFq7AHAXoAEURiJ.jpg']",0,0,7,NA,['#latinr2019'],https://twitter.com/data_datum/status/1178459907554791424,NA,NA,NA,NA,NA,0,0,NA,0,0
1178378636187099100,1178378636187099100,1569782334000,2019-09-29,15:38:54,Argentina Standard Time,1001511262545592300,wearerladies,We are R-Ladies,NA,Part of the team that worked translating “R for Data Science” to Spanish was at #LatinR2019.   🚀 The translation is now complete 📦 The 0.2 release of {datos} package has just hit CRAN.   Soon they will announce their next project. Stay tuned at @R4DS_es. https://twitter.com/minebocek/status/1177675044501114880 …,[],"[{'id': 1001511262545592320, 'id_str': '1001511262545592320', 'screen_name': 'WeAreRLadies'}, {'id': 1105263752553869312, 'id_str': '1105263752553869312', 'screen_name': 'R4DS_es'}]",['r4ds_es'],['https://twitter.com/minebocek/status/1177675044501114880'],[],0,6,39,NA,['#latinr2019'],https://twitter.com/WeAreRLadies/status/1178378636187099138,NA,NA,NA,NA,NA,1,1177675044501115e3,https://twitter.com/minebocek/status/1177675044501114880,0,0
1178366074594742300,1178366074594742300,1569779339000,2019-09-29,14:48:59,Argentina Standard Time,137214791,_carlosa3,CⒶRLOS⚡️,NA,👍🏾 #LatínAMAs #LatinGrammys #LatinGrammy #LatinR2019 #Reggaeton #SinReggaetonNoHayLatinGrammys #SinReggaetonNoHayLatinGrammys #29sep #Sigueme #DomingoDeGanarSeguidores #RT #SoloEnVenezuela #FelizDomingo #ElQueEntendioEntendio #Chistes #NoGritenQueEsPeor #SeTeniaQueDecirYseDijo pic.twitter.com/WqV0KGvwF4,[],"[{'id': 137214791, 'id_str': '137214791', 'screen_name': '_CarlosA3'}]",[],[],['https://pbs.twimg.com/media/EFpls0CXkAATrz4.jpg'],0,0,1,NA,"['#latínamas', '#latingrammys', '#latingrammy', '#latinr2019', '#reggaeton', '#sinreggaetonnohaylatingrammys', '#sinreggaetonnohaylatingrammys', '#29sep', '#sigueme', '#domingodeganarseguidores', '#rt', '#soloenvenezuela', '#felizdomingo', '#elqueentendioentendio', '#chistes', '#nogritenqueespeor', '#seteniaquedecirysedijo']",https://twitter.com/_CarlosA3/status/1178366074594742273,NA,NA,NA,NA,NA,0,0,NA,0,0
1178365502898483200,1178365502898483200,1569779203000,2019-09-29,14:46:43,Argentina Standard Time,137214791,_carlosa3,CⒶRLOS⚡️,NA,👍🏾 #LatínAMAs #LatinGrammys #LatinGrammy #LatinR2019 #PayasitasNiFuNiFa #Sigueme #DomingoDeGanarSeguidores #RT #SoloEnVenezuela #FollowBack #BuenasTardes #FelizDomingo #ElQueEntendioEntendio #Chistes #NoGritenQueEsPeor #SeTeniaQueDecirYseDijo #29Sep pic.twitter.com/kZjQjALnJw,[],"[{'id': 137214791, 'id_str': '137214791', 'screen_name': '_CarlosA3'}]",[],[],['https://pbs.twimg.com/media/EFplLieXYAIzdzP.jpg'],0,0,0,NA,"['#latínamas', '#latingrammys', '#latingrammy', '#latinr2019', '#payasitasnifunifa', '#sigueme', '#domingodeganarseguidores', '#rt', '#soloenvenezuela', '#followback', '#buenastardes', '#felizdomingo', '#elqueentendioentendio', '#chistes', '#nogritenqueespeor', '#seteniaquedecirysedijo', '#29sep']",https://twitter.com/_CarlosA3/status/1178365502898483201,NA,NA,NA,NA,NA,0,0,NA,0,0
1178365000131502e3,1178365000131502e3,1569779083000,2019-09-29,14:44:43,Argentina Standard Time,137214791,_carlosa3,CⒶRLOS⚡️,NA,👍🏾 #LatínAMAs #LatinGrammys #LatinGrammy #LatinR2019 #Sigueme #DomingoDeGanarSeguidores #RT #SoloEnVenezuela #FollowBack #BuenasTardes #FelizDomingo #ElQueEntendioEntendio #Chistes #NoGritenQueEsPeor #SeTeniaQueDecirYseDijo pic.twitter.com/8QNLdd7G75,[],"[{'id': 137214791, 'id_str': '137214791', 'screen_name': '_CarlosA3'}]",[],[],['https://pbs.twimg.com/media/EFpkuTGWoAAfXGl.jpg'],0,0,1,NA,"['#latínamas', '#latingrammys', '#latingrammy', '#latinr2019', '#sigueme', '#domingodeganarseguidores', '#rt', '#soloenvenezuela', '#followback', '#buenastardes', '#felizdomingo', '#elqueentendioentendio', '#chistes', '#nogritenqueespeor', '#seteniaquedecirysedijo']",https://twitter.com/_CarlosA3/status/1178365000131502081,NA,NA,NA,NA,NA,0,0,NA,0,0
1178349816990056400,1178349816990056400,1569775463000,2019-09-29,13:44:23,Argentina Standard Time,849793688901476400,rladiessr,R-Ladies Santa Rosa,NA,"Detalles de #LatinR2019 contados por @rivaquiroga, la Chair local, desde la cuenta de #WeAreRLadies https://twitter.com/WeAreRLadies/status/1178107433262211074 …",[],"[{'id': 849793688901476356, 'id_str': '849793688901476356', 'screen_name': 'RLadiesSR'}, {'id': 166030592, 'id_str': '166030592', 'screen_name': 'rivaquiroga'}]",['rivaquiroga'],['https://twitter.com/WeAreRLadies/status/1178107433262211074'],[],0,0,3,NA,"['#latinr2019', '#wearerladies']",https://twitter.com/RLadiesSR/status/1178349816990056448,NA,NA,NA,NA,NA,1,1178107433262211e3,https://twitter.com/WeAreRLadies/status/1178107433262211074,0,0
1178335255952007200,1178335255952007200,1569771992000,2019-09-29,12:46:32,Argentina Standard Time,735627367926890500,data_datum,Roxana Noelia,NA,Quiero felicitar a ✨@BeaMilz✨ por tuitear en portugués durante @LatinR_Conf #LatinR2019 #Latam empieza a estar más presente y eso está muy bueno 👌💯💥✨💫,[],"[{'id': 735627367926890496, 'id_str': '735627367926890496', 'screen_name': 'data_datum'}, {'id': 1022402798183477248, 'id_str': '1022402798183477248', 'screen_name': 'BeaMilz'}, {'id': 943420740891791362, 'id_str': '943420740891791362', 'screen_name': 'LatinR_Conf'}]","['beamilz', 'latinr_conf']",[],[],1,2,18,NA,"['#latinr2019', '#latam']",https://twitter.com/data_datum/status/1178335255952007173,NA,NA,NA,NA,NA,0,0,NA,0,0
1178323834996437e3,1178323834996437e3,1569769269000,2019-09-29,12:01:09,Argentina Standard Time,2726856502,cantoflor_87,Florencia,NA,Thanks to @GabySandovalM for receiving me in her home 🇨🇱 during #LatinR2019 #rladiesvisit #rladies and also to @patriloto for being a great roomie! pic.twitter.com/sNRqh9jugq,[],"[{'id': 2726856502, 'id_str': '2726856502', 'screen_name': 'cantoflor_87'}, {'id': 273776370, 'id_str': '273776370', 'screen_name': 'GabySandovalM'}, {'id': 108979413, 'id_str': '108979413', 'screen_name': 'patriloto'}]","['gabysandovalm', 'patriloto']",[],['https://pbs.twimg.com/media/EFo_PZBW4AAZVWi.jpg'],2,0,13,NA,"['#latinr2019', '#rladiesvisit', '#rladies']",https://twitter.com/cantoflor_87/status/1178323834996436992,NA,NA,NA,NA,NA,0,0,NA,0,0
1178296899067138e3,1178296899067138e3,1569762847000,2019-09-29,10:14:07,Argentina Standard Time,1001511262545592300,wearerladies,We are R-Ladies,NA,"When R is the common language, it becomes easier to embrace linguistic diversity 💜 #LatinR2019  https://twitter.com/m_a_upson/status/1177332009338834964 …",[],"[{'id': 1001511262545592320, 'id_str': '1001511262545592320', 'screen_name': 'WeAreRLadies'}]",[],['https://twitter.com/m_a_upson/status/1177332009338834964'],[],0,4,26,NA,['#latinr2019'],https://twitter.com/WeAreRLadies/status/1178296899067138048,NA,NA,NA,NA,NA,1,1177332009338835e3,https://twitter.com/m_a_upson/status/1177332009338834964,0,0
