id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
58789,❤️Best view in BA! 1 Bedroom Studio -UNO21❤️,281041,Michael,2010-11-08,TRUE,Palermo,-34.58233,-58.42509,Alojamiento entero,4,strict_14_with_grace_period
58801,Ultra Luxury 1 Bedroom - Soho PS14,281041,Michael,2010-11-08,TRUE,Palermo,-34.58643,-58.42344,Alojamiento entero,4,strict_14_with_grace_period
61282,Loft with Balcony in Belgrano,296398,Alejandro,2010-11-23,FALSE,Nuñez,-34.55364,-58.4673,Alojamiento entero,2,flexible
61882,Private Room in Buenos Aires City Center,122080,Catherine,2010-05-10,FALSE,San Nicolas,-34.60142,-58.37094,Habitación privada,2,strict_14_with_grace_period
65446,Luxury Premier Loft with Breathtaking Views  ★★★★★,319901,Ralf,2010-12-15,TRUE,Palermo,-34.58092,-58.42515,Alojamiento entero,2,moderate
65513,Comfortable apartment for 5 in BsAs,320183,Hortensia,2010-12-16,FALSE,Retiro,-34.59811,-58.37779,Alojamiento entero,5,strict_14_with_grace_period
65519,Great Apartment in Las Cañitas (Palermo) for 5,320183,Hortensia,2010-12-16,FALSE,Palermo,-34.57004,-58.43118,Alojamiento entero,5,strict_14_with_grace_period
66939,"★ Instaworthy Views, 20th Floor ★ Pool+Gym+Sauna",319901,Ralf,2010-12-15,TRUE,Palermo,-34.58246,-58.42442,Alojamiento entero,2,moderate
66940,Pool Party studio +  Views over the Pool  ❤,319901,Ralf,2010-12-15,TRUE,Palermo,-34.58251,-58.42322,Alojamiento entero,2,moderate
68173,"Best Area in Palermo, Luxury Studio",31299,Dave,2009-08-12,TRUE,Palermo,-34.57977,-58.42945,Alojamiento entero,2,strict_14_with_grace_period
68489,Best Block in Palermo Hollywood,31299,Dave,2009-08-12,TRUE,Palermo,-34.58021,-58.43133,Alojamiento entero,3,strict_14_with_grace_period
68800,Recoleta Penthouse Rooftop Loving Terrace & Pool,221405,Ximena,2010-09-02,FALSE,Recoleta,-34.5931,-58.38844,Alojamiento entero,9,moderate
68868,"Luxury Sky Loft , Dream View Apartment ★★★★★",319901,Ralf,2010-12-15,TRUE,Palermo,-34.5814,-58.4251,Alojamiento entero,2,moderate
69063,"Beautiful, great location, quiet, Nespresso.",344599,Danilo,2011-01-12,TRUE,Recoleta,-34.59429,-58.39778,Alojamiento entero,4,strict_14_with_grace_period
69086,Little Duplex Loft (1) San Telmo,64880,Elbio Mariano,2009-12-21,FALSE,Monserrat,-34.61584,-58.37602,Alojamiento entero,2,strict_14_with_grace_period
69880,"Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood",315089,Max,2010-12-10,FALSE,Palermo,-34.57732,-58.43892,Alojamiento entero,4,strict_14_with_grace_period
70082,High category appartment Belgrano,353823,Maria De Los Angeles,2011-01-19,FALSE,Palermo,-34.56928,-58.44377,Alojamiento entero,2,moderate
71801,Studio in Recoleta most secure area,368954,Carlos,2011-01-30,FALSE,Recoleta,-34.59591,-58.39931,Alojamiento entero,2,strict_14_with_grace_period
72204,Beautiful house in Palermo SOHO,373629,Daniel,2011-02-01,FALSE,Palermo,-34.58902,-58.42926,Alojamiento entero,8,strict_14_with_grace_period
73180,Palermo Apt - Las Cañitas area,161327,Mariano,2010-07-08,TRUE,Palermo,-34.5731,-58.43346,Alojamiento entero,3,strict_14_with_grace_period
75094,Amazing apartment in Recoleta,161327,Mariano,2010-07-08,TRUE,Recoleta,-34.58875,-58.39603,Alojamiento entero,3,strict_14_with_grace_period
75492,Studio Loft in Palermo Soho #1,400828,Jony,2011-02-20,TRUE,Palermo,-34.58817,-58.42003,Alojamiento entero,2,strict_14_with_grace_period
75526,It’s Always Saturday At Guapo Studio Apartment,319901,Ralf,2010-12-15,TRUE,Palermo,-34.58256,-58.42523,Alojamiento entero,2,flexible
76005,"Heart of Recoleta, no better place!",315089,Max,2010-12-10,FALSE,Recoleta,-34.5891,-58.39269,Alojamiento entero,2,strict_14_with_grace_period
76385,Studio In Downtown Buenos Aires,407702,Ruy,2011-02-24,TRUE,Monserrat,-34.61365,-58.3849,Alojamiento entero,3,moderate
