id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
10524038,"Overlook the Park at a Modern, Minimal Condesa Nest",11903095,Marianna,2014-02-03,TRUE,Cuauhtémoc,19.4124,-99.16807,Alojamiento entero,6,strict_14_with_grace_period
10524633,Bonita y práctica recámara - Juárez,53221629,Liz,2016-01-03,FALSE,Cuauhtémoc,19.42952,-99.15762,Habitación privada,2,flexible
10528516,"Deluxe bedroom, heart of Coyoacán",32706978,Jorge,2015-05-05,FALSE,Coyoacán,19.35299,-99.16448,Habitación privada,1,flexible
10540211,2.-Fantastic new suite in Roma,48784986,Miguel,2015-11-11,FALSE,Cuauhtémoc,19.41584,-99.1607,Alojamiento entero,2,strict_14_with_grace_period
10540306,"1.- In Roma, deluxe small apartment",48784986,Miguel,2015-11-11,FALSE,Cuauhtémoc,19.4184,-99.1618,Alojamiento entero,2,flexible
10541023,"3.- Roma, great 1 bedroom apartment",48784986,Miguel,2015-11-11,FALSE,Cuauhtémoc,19.41838,-99.16093,Alojamiento entero,3,moderate
10548196,Comfortable/Small room 5 min sta fe,9445002,Gabriel,2013-10-15,FALSE,Cuajimalpa de Morelos,19.37201,-99.28101,Habitación privada,1,flexible
10552021,Cuarto en zona centrica,16856447,Bodhi,2014-06-16,FALSE,Cuauhtémoc,19.40965,-99.18129,Habitación privada,2,flexible
10561784,"Cozy & Spacious! In the heart of Col Roma, CDMX",38265532,Lygia,2015-07-12,TRUE,Cuauhtémoc,19.41977,-99.17049,Alojamiento entero,3,strict_14_with_grace_period
10565746,"Casa Donceles Plus Apt.4❤️Groups, family, friends!",54497443,Livia,2016-01-13,TRUE,Cuauhtémoc,19.43623,-99.13964,Alojamiento entero,6,strict_14_with_grace_period
10569956,Big Room in a big Appartment,51918936,Pablo,2015-12-21,FALSE,Benito Juárez,19.38642,-99.17814,Habitación privada,2,flexible
10576847,Beautiful flat 2 bedroom downtown 404,25611616,Cristian,2015-01-04,TRUE,Cuauhtémoc,19.42655,-99.13659,Alojamiento entero,6,strict_14_with_grace_period
10588526,Cozy Private Studio in Mexico City's Condesa,54627960,Marcela,2016-01-14,TRUE,Cuauhtémoc,19.4101,-99.17483,Alojamiento entero,2,strict_14_with_grace_period
10594035,Racine Suites,54659854,Isaac,2016-01-14,FALSE,Miguel Hidalgo,19.43634,-99.2115,Alojamiento entero,2,flexible
10594692,Cozy bedroom@Heart of Condesa OM,54663342,Mar,2016-01-14,FALSE,Cuauhtémoc,19.4111,-99.17207,Habitación privada,2,moderate
10595504,Amazing Location (Private Room),53885386,Xavier,2016-01-08,FALSE,Benito Juárez,19.37039,-99.18153,Habitación privada,2,moderate
10596976,DOWNTOWN APT Pool & Gym,18794675,Paola,2014-07-24,TRUE,Cuauhtémoc,19.43471,-99.14607,Alojamiento entero,5,strict_14_with_grace_period
10597075,"Great PH Río Lerma, fine terrace",43302879,Cecilia,2015-09-03,TRUE,Cuauhtémoc,19.42828,-99.17064,Alojamiento entero,3,strict_14_with_grace_period
10600867,Beautiful Top Apt in City Towers II,53645758,Priscila Y Eduardo,2016-01-06,FALSE,Benito Juárez,19.36481,-99.16188,Alojamiento entero,6,strict_14_with_grace_period
10604611,Lujo y personal de servicio,18158922,Marko,2014-07-15,FALSE,Miguel Hidalgo,19.43333,-99.21102,Alojamiento entero,6,flexible
10609468,Coyoacan! Beautiful Apartment near everything!,54745120,Valerie Campos,2016-01-15,FALSE,Benito Juárez,19.36362,-99.15756,Habitación privada,2,moderate
10613863,Cuarto moderno y amplio en Zona Centrica WTC,54771121,Carlos,2016-01-15,TRUE,Miguel Hidalgo,19.39749,-99.17835,Habitación privada,2,moderate
10616158,Excelente cuarto en depto compartido muy céntrico,30880781,Diana,2015-04-09,FALSE,Cuauhtémoc,19.42816,-99.1555,Habitación privada,2,flexible
10617983,"""Casa de las Hadas"" Coyoacan",54797756,Jesus,2016-01-15,FALSE,Coyoacán,19.34991,-99.16943,Habitación privada,1,flexible
10618471,"Avenida Santa Fe: Amazing Parc, Pool, Gym...",11257377,Nicolas,2014-01-13,FALSE,Cuajimalpa de Morelos,19.36087,-99.26631,Habitación privada,2,moderate
10625830,Cozy at best location in downtown!,5367465,Armando,2013-03-07,TRUE,Cuauhtémoc,19.43302,-99.14609,Alojamiento entero,4,moderate
10630397,CUARTOS ESTILO HOSTAL,54872901,Juan Carlos,2016-01-16,FALSE,Gustavo A. Madero,19.49431,-99.14539,Habitación privada,8,flexible
10645052,POLANCO all services with a great price. Ideal!,41586338,Luis Rubén,2015-08-16,TRUE,Miguel Hidalgo,19.43652,-99.18525,Alojamiento entero,2,moderate
10651065,Privet Room @ the Heart of Santa Fe,54155432,Bruno,2016-01-11,FALSE,Cuajimalpa de Morelos,19.36041,-99.26966,Habitación privada,3,flexible
10659787,Nice room in PH / terrace near WTC,21383091,Mimi,2014-09-15,FALSE,Benito Juárez,19.39891,-99.17079,Habitación privada,2,moderate
