anio	anfitrion	partidos_crudo
1954	switzerland	(19) 26 June    Austria          7-5   Switzerland    @ Stade Olympique de la Pontaise, Lausanne
1954	switzerland	(20) 26 June    Uruguay          4-2   England        @ St. Jakob Stadium, Basel
1954	switzerland	(17) 27 June    Yugoslavia       0-2   West Germany   @ Charmilles Stadium, Geneva
1954	switzerland	(18) 27 June    Brazil           2-4   Hungary        @ Wankdorf Stadium, Bern
1954	switzerland	(21) 30 June    West Germany     6-1         Austria        @ St. Jakob Stadium, Basel
1954	switzerland	(22) 30 June    Hungary      4-2 a.e.t. 2-2  Uruguay        @ Stade Olympique de la Pontaise, Lausanne
1954	switzerland	(23) 3 July     Uruguay         1-3    Austria   @ Hardturm Stadium, Zürich
1954	switzerland	(24) 4 July     Hungary         2-3    West Germany    @ Wankdorf Stadium, Bern
1958	sweden	(7)  8 June     West Germany      3-1  Argentina       @ Malmö Stadion, Malmö
1958	sweden	(8)  8 June     Northern Ireland  1-0  Czechoslovakia  @ Örjans Vall, Halmstad
1958	sweden	(15) 11 June    Argentina         3-1  Northern Ireland  @ Örjans Vall, Halmstad
1958	sweden	(14) 11 June    West Germany      2-2  Czechoslovakia    @ Olympiastadion, Helsingborg
1958	sweden	(23) 15 June    West Germany      2-2  Northern Ireland  @ Malmö Stadion, Malmö
1958	sweden	(24) 15 June    Czechoslovakia    6-1  Argentina         @ Olympiastadion, Helsingborg
1958	sweden	(35) 17 June   Northern Ireland   2-1 a.e.t. 1-1   Czechoslovakia  @ Malmö Stadion, Malmö
1958	sweden	(3)   8 June      France       7-3  Paraguay   @ Idrottsparken, Norrköping
1958	sweden	(4)   8 June      Yugoslavia   1-1  Scotland   @ Arosvallen, Västerås
1958	sweden	(11) 11 June     Yugoslavia   3-2  France     @ Arosvallen, Västerås
1958	sweden	(10) 11 June     Paraguay     3-2  Scotland   @ Idrottsparken, Norrköping
1958	sweden	(20) 15 June     France       2-1  Scotland     @ Eyravallen, Örebro
1958	sweden	(19) 15 June     Paraguay     3-3  Yugoslavia   @ Tunavallen, Eskilstuna
1958	sweden	(1)  8 June      Sweden     3-0  Mexico    @ Råsunda Stadium, Solna
1958	sweden	(2)  8 June      Hungary    1-1  Wales     @ Jernvallen, Sandviken
1958	sweden	(9)  11 June     Mexico     1-1  Wales     @ Råsunda Stadium, Solna
1958	sweden	(16) 12 June     Sweden     2-1  Hungary   @ Råsunda Stadium, Solna
1958	sweden	(17) 15 June     Sweden     0-0  Wales     @ Råsunda Stadium, Solna
1958	sweden	(18) 15 June     Hungary    4-0  Mexico    @ Jernvallen, Sandviken
1958	sweden	(33) 17 June     Wales      2-1  Hungary     @ Råsunda Stadium, Solna
1958	sweden	(6)  8 June     Brazil         3-0  Austria     @ Rimnersvallen, Uddevalla
1958	sweden	(5)  8 June     Soviet Union   2-2  England     @ Ullevi, Gothenburg
1958	sweden	(12) 11 June    Brazil        0-0  England    @ Ullevi, Gothenburg
1958	sweden	(13) 11 June    Soviet Union  2-0  Austria    @ Ryavallen, Borås
1958	sweden	(22) 15 June    England       2-2  Austria        @ Ryavallen, Borås
1958	sweden	(21) 15 June    Brazil        2-0  Soviet Union   @ Ullevi, Gothenburg
1958	sweden	(34) 17 June    Soviet Union   1-0  England   @ Ullevi, Gothenburg
1958	sweden	(26) 19 June   France        4-0   Northern Ireland   @ Idrottsparken, Norrköping
1958	sweden	(25) 19 June   Sweden        2-0   Soviet Union       @ Råsunda Stadium, Solna
1958	sweden	(27) 19 June   Brazil        1-0   Wales              @ Ullevi, Gothenburg
1958	sweden	(28) 19 June   West Germany  1-0   Yugoslavia         @ Malmö Stadion, Malmö
1958	sweden	(29) 24 June   France         2-5  Brazil    @ Råsunda Stadium, Solna
1958	sweden	(30) 24 June   West Germany   1-3  Sweden    @ Ullevi, Gothenburg
1958	sweden	(31) 28 June   West Germany   3-6  France    @ Ullevi, Gothenburg
1958	sweden	(32) 29 June   Sweden         2-5  Brazil    @ Råsunda Stadium, Solna
1962	chile	(1)  30 May    Uruguay         2-1  Colombia      @ Estadio Carlos Dittborn, Arica
1962	chile	(5)  31 May    Soviet Union    2-0  Yugoslavia    @ Estadio Carlos Dittborn, Arica
1962	chile	(9)  2 June    Yugoslavia      3-1  Uruguay      @ Estadio Carlos Dittborn, Arica
1962	chile	(13) 3 June    Soviet Union    4-4  Colombia     @ Estadio Carlos Dittborn, Arica
1962	chile	(17) 6 June    Soviet Union    2-1  Uruguay      @ Estadio Carlos Dittborn, Arica
1962	chile	(21) 7 June    Yugoslavia      5-0  Colombia     @ Estadio Carlos Dittborn, Arica
1962	chile	(2)  30 May    Chile           3-1  Switzerland   @ Estadio Nacional, Santiago
1962	chile	(6)  31 May    West Germany    0-0  Italy         @ Estadio Nacional, Santiago
1962	chile	(10)  2 June    Chile           2-0  Italy        @ Estadio Nacional, Santiago
1962	chile	(14)  3 June    West Germany    2-1  Switzerland  @ Estadio Nacional, Santiago
1962	chile	(18)  6 June    West Germany    2-0  Chile         @ Estadio Nacional, Santiago
1962	chile	(22)  7 June    Italy           3-0  Switzerland   @ Estadio Nacional, Santiago
1962	chile	(3)  30 May    Brazil           2-0  Mexico    @ Estadio Sausalito, Viña del Mar
1962	chile	(7)  31 May    Czechoslovakia   1-0  Spain     @ Estadio Sausalito, Viña del Mar
1962	chile	(11)  2 June    Brazil           0-0  Czechoslovakia  @ Estadio Sausalito, Viña del Mar
1962	chile	(15)  3 June    Spain            1-0  Mexico          @ Estadio Sausalito, Viña del Mar
1962	chile	(19)  6 June    Brazil           2-1  Spain            @ Estadio Sausalito, Viña del Mar
1962	chile	(23)  7 June    Mexico           3-1  Czechoslovakia   @ Estadio Sausalito, Viña del Mar
1962	chile	(4)  30 May    Argentina  1-0  Bulgaria    @ Estadio El Teniente, Rancagua
1962	chile	(8)  31 May    Hungary    2-1  England     @ Estadio El Teniente, Rancagua
1962	chile	(12)  2 June    England    3-1  Argentina   @ Estadio El Teniente, Rancagua
1962	chile	(16)  3 June    Hungary    6-1  Bulgaria    @ Estadio El Teniente, Rancagua
1962	chile	(20)  6 June    Hungary    0-0  Argentina   @ Estadio El Teniente, Rancagua
1962	chile	(24)  7 June    England    0-0  Bulgaria    @ Estadio El Teniente, Rancagua
1962	chile	(25) 10 June   Chile           2-1  Soviet Union   @ Estadio Carlos Dittborn, Arica
1962	chile	(26) 10 June   Yugoslavia      1-0  West Germany   @ Estadio Nacional, Santiago
1962	chile	(27) 10 June   Brazil          3-1  England        @ Estadio Sausalito, Viña del Mar
1962	chile	(28) 10 June   Czechoslovakia  1-0  Hungary        @ Estadio El Teniente, Rancagua
1962	chile	(29) 13 June   Brazil           4-2  Chile       @ Estadio Nacional, Santiago
1962	chile	(30) 13 June   Czechoslovakia   3-1  Yugoslavia  @ Estadio Sausalito, Viña del Mar
1962	chile	(31) 16 June   Chile            1-0  Yugoslavia  @ Estadio Nacional, Santiago
1962	chile	(32) 17 June   Brazil           3-1  Czechoslovakia  @ Estadio Nacional, Santiago
1966	england	(1)  11 July   England    0-0    Uruguay   @ Wembley Stadium, London
1966	england	(5)  13 July   France     1-1    Mexico    @ Wembley Stadium, London
1966	england	(9)  15 July   Uruguay    2-1    France    @ White City Stadium, London
1966	england	(13) 16 July   England    2-0    Mexico    @ Wembley Stadium, London
1966	england	(17) 19 July   Mexico     0-0    Uruguay   @ Wembley Stadium, London
1966	england	(21) 20 July   England    2-0    France    @ Wembley Stadium, London
1966	england	(2)  12 July   West Germany    5-0   Switzerland   @ Hillsborough Stadium, Sheffield
1966	england	(6)  13 July   Argentina       2-1   Spain         @ Villa Park, Birmingham
1966	england	(10) 15 July   Spain           2-1   Switzerland   @ Hillsborough Stadium, Sheffield
1966	england	(14) 16 July   Argentina       0-0   West Germany  @ Villa Park, Birmingham
1966	england	(18) 19 July   Argentina       2-0   Switzerland   @ Hillsborough Stadium, Sheffield
1966	england	(22) 20 July   West Germany    2-1   Spain         @ Villa Park, Birmingham
1966	england	(3)  12 July   Brazil      2-0    Bulgaria         @ Goodison Park, Liverpool
1966	england	(7)  13 July   Portugal    3-1    Hungary          @ Old Trafford, Manchester
1966	england	(11) 15 July   Hungary     3-1    Brazil           @ Goodison Park, Liverpool
1966	england	(15) 16 July   Portugal    3-0    Bulgaria         @ Old Trafford, Manchester
1966	england	(19) 19 July   Portugal    3-1    Brazil           @ Goodison Park, Liverpool
1966	england	(23) 20 July   Hungary     3-1    Bulgaria         @ Old Trafford, Manchester
1966	england	(4)  12 July   Soviet Union    3-0  North Korea   @ Ayresome Park, Middlesbrough
1966	england	(8)  13 July   Italy           2-0  Chile         @ Roker Park, Sunderland
1966	england	(12) 15 July   Chile           1-1  North Korea   @ Ayresome Park, Middlesbrough
1966	england	(16) 16 July   Soviet Union    1-0  Italy         @ Roker Park, Sunderland
1966	england	(20) 19 July   North Korea     1-0  Italy         @ Ayresome Park, Middlesbrough
1966	england	(24) 20 July   Soviet Union    2-1  Chile         @ Roker Park, Sunderland
1966	england	(25) 23 July   England         1-0   Argentina     @ Wembley Stadium, London
1966	england	(26) 23 July   West Germany    4-0   Uruguay       @ Hillsborough Stadium, Sheffield
1966	england	(27) 23 July   Soviet Union    2-1   Hungary       @ Roker Park, Sunderland
1966	england	(28) 23 July   Portugal        5-3   North Korea   @ Goodison Park, Liverpool
1966	england	(29) 25 July   West Germany   2-1   Soviet Union  @ Goodison Park, Liverpool
1966	england	(30) 26 July   England        2-1   Portugal      @ Wembley Stadium, London
1966	england	(31) 28 July   Portugal    2-1   Soviet Union  @ Wembley Stadium, London
1966	england	(32) 30 July    England   4-2 a.e.t. 2-2   West Germany  @ Wembley Stadium, London
1970	mexico	(1)  31 May     Mexico          0-0    Soviet Union   @ Estadio Azteca, Mexico City
1970	mexico	(5)   3 June    Belgium         3-0    El Salvador    @ Estadio Azteca, Mexico City
