anio	anfitrion	estadio	ciudad	partido_orden	fecha	equipo_1	equipo_2	equipo_1_final	equipo_2_final
1958	Suecia	Arosvallen	Västerås	(11)	1958-06-11	Yugoslavia	Francia	3	2
1958	Suecia	Idrottsparken	Norrköping	(10)	1958-06-11	Paraguay	Escocia	3	2
1958	Suecia	Råsunda Stadium	Solna	(9)	1958-06-11	Mexico	Gales	1	1
1958	Suecia	Ullevi	Gothenburg	(12)	1958-06-11	Brasil	Inglaterra	0	0
1958	Suecia	Ryavallen	Borås	(13)	1958-06-11	Unión Soviética	Austria	2	0
1958	Suecia	Råsunda Stadium	Solna	(16)	1958-06-12	Suecia	Hungría	2	1
1958	Suecia	Malmö Stadion	Malmö	(23)	1958-06-15	Alemania occidental	Irlanda del Norte	2	2
1958	Suecia	Olympiastadion	Helsingborg	(24)	1958-06-15	Checoslovaquia	Argentina	6	1
1958	Suecia	Eyravallen	Örebro	(20)	1958-06-15	Francia	Escocia	2	1
1958	Suecia	Tunavallen	Eskilstuna	(19)	1958-06-15	Paraguay	Yugoslavia	3	3
1958	Suecia	Råsunda Stadium	Solna	(17)	1958-06-15	Suecia	Gales	0	0
1958	Suecia	Jernvallen	Sandviken	(18)	1958-06-15	Hungría	Mexico	4	0
1958	Suecia	Ryavallen	Borås	(22)	1958-06-15	Inglaterra	Austria	2	2
1958	Suecia	Ullevi	Gothenburg	(21)	1958-06-15	Brasil	Unión Soviética	2	0
1958	Suecia	Malmö Stadion	Malmö	(35)	1958-06-17	Irlanda del Norte	Checoslovaquia	2	1
1958	Suecia	Råsunda Stadium	Solna	(33)	1958-06-17	Gales	Hungría	2	1
1958	Suecia	Ullevi	Gothenburg	(34)	1958-06-17	Unión Soviética	Inglaterra	1	0
1958	Suecia	Idrottsparken	Norrköping	(26)	1958-06-19	Francia	Irlanda del Norte	4	0
1958	Suecia	Råsunda Stadium	Solna	(25)	1958-06-19	Suecia	Unión Soviética	2	0
1958	Suecia	Ullevi	Gothenburg	(27)	1958-06-19	Brasil	Gales	1	0
1958	Suecia	Malmö Stadion	Malmö	(28)	1958-06-19	Alemania occidental	Yugoslavia	1	0
1958	Suecia	Råsunda Stadium	Solna	(29)	1958-06-24	Francia	Brasil	2	5
1958	Suecia	Ullevi	Gothenburg	(30)	1958-06-24	Alemania occidental	Suecia	1	3
1958	Suecia	Ullevi	Gothenburg	(31)	1958-06-28	Alemania occidental	Francia	3	6
1958	Suecia	Råsunda Stadium	Solna	(32)	1958-06-29	Suecia	Brasil	2	5
1962	Chile	Estadio Carlos Dittborn	Arica	(1)	1962-05-30	Uruguay	Colombia	2	1
1962	Chile	Estadio Nacional	Santiago	(2)	1962-05-30	Chile	Suiza	3	1
1962	Chile	Estadio Sausalito	Viña del Mar	(3)	1962-05-30	Brasil	Mexico	2	0
1962	Chile	Estadio El Teniente	Rancagua	(4)	1962-05-30	Argentina	Bulgaria	1	0
1962	Chile	Estadio Carlos Dittborn	Arica	(5)	1962-05-31	Unión Soviética	Yugoslavia	2	0
1962	Chile	Estadio Nacional	Santiago	(6)	1962-05-31	Alemania occidental	Italia	0	0
1962	Chile	Estadio Sausalito	Viña del Mar	(7)	1962-05-31	Checoslovaquia	España	1	0
1962	Chile	Estadio El Teniente	Rancagua	(8)	1962-05-31	Hungría	Inglaterra	2	1
1962	Chile	Estadio Carlos Dittborn	Arica	(9)	1962-06-02	Yugoslavia	Uruguay	3	1
1962	Chile	Estadio Nacional	Santiago	(10)	1962-06-02	Chile	Italia	2	0
1962	Chile	Estadio Sausalito	Viña del Mar	(11)	1962-06-02	Brasil	Checoslovaquia	0	0
1962	Chile	Estadio El Teniente	Rancagua	(12)	1962-06-02	Inglaterra	Argentina	3	1
1962	Chile	Estadio Carlos Dittborn	Arica	(13)	1962-06-03	Unión Soviética	Colombia	4	4
1962	Chile	Estadio Nacional	Santiago	(14)	1962-06-03	Alemania occidental	Suiza	2	1
1962	Chile	Estadio Sausalito	Viña del Mar	(15)	1962-06-03	España	Mexico	1	0
1962	Chile	Estadio El Teniente	Rancagua	(16)	1962-06-03	Hungría	Bulgaria	6	1
1962	Chile	Estadio Carlos Dittborn	Arica	(17)	1962-06-06	Unión Soviética	Uruguay	2	1
1962	Chile	Estadio Nacional	Santiago	(18)	1962-06-06	Alemania occidental	Chile	2	0
1962	Chile	Estadio Sausalito	Viña del Mar	(19)	1962-06-06	Brasil	España	2	1
1962	Chile	Estadio El Teniente	Rancagua	(20)	1962-06-06	Hungría	Argentina	0	0
1962	Chile	Estadio Carlos Dittborn	Arica	(21)	1962-06-07	Yugoslavia	Colombia	5	0
1962	Chile	Estadio Nacional	Santiago	(22)	1962-06-07	Italia	Suiza	3	0
